Year,Location,Heat Wave,Dry Spell,Cold Wave,Wet Spell,Avg Min Temp *C,Yr Rain mm,Irrigation,Crop Type,Crop Damage,Yield,Observer
1997,Lake Meganhaven,N,N,N,N,21.0,1174.79,Y,Soy,N,954.93,Steve Campbell
1997,East Stevenside,N,N,N,N,23.8,795.28,Y,Wheat,N,1447.29,Francisco Potter
1997,Davidfurt,N,N,N,N,21.7,1506.08,N,Soy,N,791.0,Erik Chaney
1998,Lake Meganhaven,N,Y,N,N,21.2,1158.94,Y,Canola,N,1660.83,Steve Campbell
1998,East Stevenside,N,N,N,Y,23.8,841.68,Y,Soy,N,1048.27,Karen Hall
1998,Davidfurt,N,N,N,Y,21.9,1653.58,N,Wheat,N,1188.71,Fred Smith
1999,East Stevenside,Y,N,N,Y,24.2,922.79,Y,Soy,N,1055.61,Russell Dennis
1999,Davidfurt,N,N,N,N,21.9,1397.21,N,Canola,N,1489.0,Steven Whitehead
1999,Lake Meganhaven,Y,N,N,Y,21.3,1205.5,Y,Wheat,N,1364.76,Steve Campbell
2000,Davidfurt,N,N,N,Y,22.0,1588.47,N,Soy,N,788.57,Steven Whitehead
2000,East Stevenside,N,Y,N,N,24.2,836.09,Y,Canola,Y,1755.72,Russell Dennis
2000,Lake Meganhaven,Y,N,N,Y,21.1,1271.03,Y,Wheat,N,1358.29,Matthew Bray
2001,Davidfurt,N,Y,N,N,22.3,1556.63,N,Canola,N,1484.42,Jamie Johnson
2001,East Stevenside,N,N,N,Y,23.9,923.45,Y,Soy,N,1050.32,John Smith
2001,Lake Meganhaven,N,N,N,N,21.0,1188.47,Y,Canola,N,1654.13,Debra Hahn
2002,Lake Meganhaven,N,N,N,Y,20.9,1274.29,Y,Wheat,N,1349.42,Gregory Navarro
2002,Davidfurt,N,N,N,Y,22.2,1791.18,N,Canola,N,1484.99,Jamie Johnson
2002,East Stevenside,Y,N,N,Y,24.3,864.74,Y,Wheat,N,1458.47,Alexis Griffith
2003,East Stevenside,N,Y,N,N,24.2,832.29,Y,Canola,N,1756.98,Alexis Griffith
2003,Lake Meganhaven,Y,Y,N,N,21.2,1187.47,Y,Soy,N,959.46,Alicia Gray
2003,Davidfurt,Y,N,N,Y,22.2,1941.31,N,Canola,N,1485.8,Lisa Cisneros
2004,Davidfurt,N,Y,N,N,21.9,1430.67,N,Soy,N,788.65,Lisa Cisneros
2004,East Stevenside,Y,N,N,Y,24.3,914.46,Y,Soy,N,1058.36,Alexis Griffith
2004,Lake Meganhaven,Y,N,N,Y,21.9,1312.53,Y,Canola,N,1686.77,Alicia Gray
2005,Lake Meganhaven,Y,N,N,Y,21.6,1409.44,Y,Canola,N,1675.55,Alicia Gray
2005,Davidfurt,N,N,N,Y,22.3,1892.43,N,Canola,Y,1484.29,Lisa Cisneros
2005,East Stevenside,Y,N,N,Y,24.4,963.95,Y,Soy,N,1061.56,Anthony Potter
2006,Lake Meganhaven,Y,N,N,Y,21.6,1367.74,Y,Soy,N,977.56,Alicia Gray
2006,East Stevenside,N,N,N,Y,24.2,993.94,Y,Canola,N,1757.57,Anthony Potter
2006,Davidfurt,N,N,N,Y,22.4,1578.49,N,Canola,Y,1482.26,Lisa Cisneros
2007,Lake Meganhaven,Y,N,N,Y,21.7,1390.41,Y,Canola,N,1679.69,Angela Burton
2007,Davidfurt,N,N,N,Y,22.0,1703.27,N,Soy,N,788.0,Lisa Cisneros
2007,East Stevenside,Y,N,N,Y,24.5,1062.77,Y,Canola,N,1763.15,Anthony Potter
2008,East Stevenside,Y,N,N,Y,24.2,1006.05,Y,Wheat,N,1457.04,Anthony Potter
2008,Davidfurt,N,N,N,Y,22.3,1996.28,N,Wheat,Y,1183.44,Lisa Cisneros
2008,Lake Meganhaven,Y,N,N,Y,21.6,1394.76,Y,Soy,N,976.32,Holly Cohen
2009,East Stevenside,Y,N,N,Y,24.3,1047.32,Y,Wheat,N,1459.4,Anthony Potter
2009,Davidfurt,N,N,N,Y,22.5,1873.59,N,Soy,Y,781.79,Kristie Morris
2009,Lake Meganhaven,Y,N,N,Y,21.7,1298.25,Y,Wheat,N,1381.38,Sherri Torres
2010,East Stevenside,Y,N,N,Y,24.6,1128.61,Y,Canola,N,1764.33,Christopher Rodriguez
2010,Davidfurt,N,N,N,Y,22.5,1825.12,N,Wheat,Y,1181.67,Kristie Morris
2010,Lake Meganhaven,Y,N,N,Y,21.8,1443.68,Y,Canola,N,1685.02,Sherri Torres
2011,East Stevenside,Y,N,N,Y,24.6,1063.47,Y,Soy,N,1064.6,Kim French
2011,Davidfurt,N,N,N,Y,22.3,1650.03,N,Wheat,N,1184.13,Kristie Morris
2011,Lake Meganhaven,Y,N,N,Y,22.0,1498.32,Y,Canola,N,1692.17,Sherri Torres
2012,Lake Meganhaven,Y,N,N,Y,21.7,1545.24,Y,Canola,N,1681.3,Ashley Soto
2012,East Stevenside,Y,N,N,Y,24.5,1049.88,Y,Soy,N,1064.08,Kim French
2012,Davidfurt,N,N,N,Y,22.3,1717.9,N,Wheat,N,1184.38,Jonathan Jones
2013,Davidfurt,N,N,N,Y,22.6,1843.12,N,Soy,Y,779.66,Robert Bryant
2013,East Stevenside,Y,N,N,Y,24.5,1036.44,Y,Wheat,N,1463.12,Kim French
2013,Lake Meganhaven,Y,N,N,Y,22.1,1641.48,Y,Wheat,N,1394.89,Ashley Soto
2014,East Stevenside,Y,N,N,Y,24.8,1179.88,Y,Canola,N,1768.65,Kim French
2014,Davidfurt,N,N,N,Y,22.5,1857.03,N,Soy,Y,781.77,Veronica Juarez
2014,Lake Meganhaven,Y,N,N,Y,22.5,1509.71,Y,Soy,N,1010.75,Ashley Soto
2015,East Stevenside,Y,N,N,Y,25.0,1052.93,Y,Wheat,N,1472.9,Veronica Johnson
2015,Davidfurt,N,N,N,Y,23.0,2031.85,N,Soy,Y,773.81,Veronica Juarez
2015,Lake Meganhaven,Y,N,N,Y,22.1,1493.01,Y,Soy,N,994.71,George Nelson
2016,Lake Meganhaven,Y,N,N,Y,21.9,1655.96,Y,Canola,N,1688.79,Brandon Sandoval
2016,East Stevenside,Y,N,N,Y,24.8,986.71,Y,Canola,N,1768.87,Craig Morris
2016,Davidfurt,N,N,N,Y,22.7,1956.04,N,Canola,Y,1477.63,Cynthia Pearson
2017,Lake Meganhaven,Y,N,N,Y,22.0,1808.5,Y,Wheat,N,1391.62,Brandon Sandoval
2017,Davidfurt,N,N,N,Y,22.7,1957.19,N,Soy,Y,778.65,Sarah Cross
2017,East Stevenside,Y,N,N,Y,24.8,1153.43,Y,Wheat,N,1469.57,Kayla Sanchez
2018,East Stevenside,Y,N,N,Y,24.8,1150.6,Y,Soy,N,1069.71,Leah Young
2018,Lake Meganhaven,Y,N,N,Y,22.0,1708.01,Y,Wheat,N,1392.11,Jeffery Cochran
2018,Davidfurt,N,N,N,Y,23.2,2024.01,N,Canola,Y,1468.79,Sarah Cross
2019,Davidfurt,N,N,N,Y,23.1,1912.88,N,Wheat,Y,1170.3,Donald Hawkins
2019,Lake Meganhaven,Y,N,N,Y,22.5,1610.14,Y,Canola,N,1708.54,Jeffery Cochran
2019,East Stevenside,Y,N,N,Y,24.6,1231.21,Y,Canola,N,1764.96,Brandon Valdez
